id,word,url,scrape_time,status,error
1,a máa,https://glosbe.com/yo/en/a máa,2025-04-21 22:58:49,success,
2,a,https://glosbe.com/yo/en/a,2025-04-21 22:58:52,success,
3,A kú ọdún àjíǹde,https://glosbe.com/yo/en/A kú ọdún àjíǹde,2025-04-21 22:58:54,success,
4,a dúpẹ́,https://glosbe.com/yo/en/a dúpẹ́,2025-04-21 22:58:56,success,
5,à bá ti,https://glosbe.com/yo/en/à bá ti,2025-04-21 22:58:58,success,
6,a gba ọ̀rọ̀ àkọsílẹ̀ dúró,https://glosbe.com/yo/en/a gba ọ̀rọ̀ àkọsílẹ̀ dúró,2025-04-21 22:59:01,success,
7,a óò,https://glosbe.com/yo/en/a óò,2025-04-21 22:59:03,success,
8,a ta,https://glosbe.com/yo/en/a ta,2025-04-21 22:59:07,success,
9,á,https://glosbe.com/yo/en/á,2025-04-21 22:59:09,success,
