id,word,url,scrape_time,status,error
92,bẹ́ẹ̀ kọ́,,2025-04-21 23:03:03,error,Invalid result format
93,báìtì,,2025-04-21 23:03:04,error,Invalid result format
94,bauchi,,2025-04-21 23:03:07,error,Invalid result format
95,bọ́tìnnì ààyè wúnrẹ̀n,,2025-04-21 23:03:09,error,Invalid result format
96,balógun,,2025-04-21 23:03:12,error,Invalid result format
97,Barack Obama,,2025-04-21 23:03:14,error,Invalid result format
98,berkelium,,2025-04-21 23:03:16,error,Invalid result format
99,Baálẹ̀,,2025-04-21 23:03:20,error,Invalid result format
100,bujumbura,,2025-04-21 23:03:23,error,Invalid result format
101,bẹ̀lísè,,2025-04-21 23:03:25,error,Invalid result format
102,Benin City,,2025-04-21 23:03:27,error,Invalid result format
103,b yá,,2025-04-21 23:03:30,error,Invalid result format
104,bánà,,2025-04-21 23:03:31,error,Invalid result format
105,Bẹ́ljíọ̀m,,2025-04-21 23:03:33,error,Invalid result format
106,bavaria,,2025-04-21 23:03:35,error,Invalid result format
107,buddhism,,2025-04-21 23:03:38,error,Invalid result format
108,Bahrain,,2025-04-21 23:03:39,error,Invalid result format
109,baku,,2025-04-21 23:03:42,error,Invalid result format
110,Berlin,,2025-04-21 23:03:44,error,Invalid result format
111,Botswana,,2025-04-21 23:03:47,error,Invalid result format
112,burú,,2025-04-21 23:03:50,error,Invalid result format
113,bu jẹ,,2025-04-21 23:03:53,error,Invalid result format
114,bọ́tìnnì ìráyé sí,,2025-04-21 23:03:55,error,Invalid result format
115,Balinese,,2025-04-21 23:03:57,error,Invalid result format
116,barium,,2025-04-21 23:03:59,error,Invalid result format
117,bohemia,,2025-04-21 23:04:01,error,Invalid result format
118,boston,,2025-04-21 23:04:03,error,Invalid result format
119,baba-baba,,2025-04-21 23:04:06,error,Invalid result format
120,Boron,,2025-04-21 23:04:07,error,Invalid result format
121,berne,,2025-04-21 23:04:09,error,Invalid result format
122,bps,,2025-04-21 23:04:11,error,Invalid result format
123,bí ọsán,,2025-04-21 23:04:13,error,Invalid result format
124,bánkì,,2025-04-21 23:04:15,error,Invalid result format
125,Belgium,,2025-04-21 23:04:17,error,Invalid result format
126,Bọ́ọ̀lù-alápẹ̀rẹ̀,,2025-04-21 23:04:20,error,Invalid result format
127,Baale,,2025-04-21 23:04:22,error,Invalid result format
128,Báwo ni mo ṣe le,,2025-04-21 23:04:24,error,Invalid result format
129,bọ́tìnnì àtẹ̀léra,,2025-04-21 23:04:25,error,Invalid result format
130,bọ́tìnnì rédíò,,2025-04-21 23:04:27,error,Invalid result format
131,bromine,,2025-04-21 23:04:29,error,Invalid result format
132,bọ́tìnnì ìdarí,,2025-04-21 23:04:31,error,Invalid result format
133,bùdó,,2025-04-21 23:04:33,error,Invalid result format
134,bótìnnì gbogboǹṣe,,2025-04-21 23:04:35,error,Invalid result format
135,baálẹ̀,,2025-04-21 23:04:38,error,Invalid result format
136,bọ́ọ̀lù àfẹsẹ̀gbá,,2025-04-21 23:04:42,error,Invalid result format
137,búrẹ́dì,,2025-04-21 23:04:45,error,Invalid result format
138,Bob Dylan,,2025-04-21 23:04:48,error,Invalid result format
139,bàbáàgbà,,2025-04-21 23:04:50,error,Invalid result format
140,bismuth,,2025-04-21 23:04:52,error,Invalid result format
141,bárbádọ̀s,,2025-04-21 23:04:55,error,Invalid result format
142,bangladẹ́shì,,2025-04-21 23:04:57,error,Invalid result format
143,beirut,,2025-04-21 23:05:00,error,Invalid result format
144,biribiri,,2025-04-21 23:05:02,error,Invalid result format
145,Burkina Faso,,2025-04-21 23:05:04,error,Invalid result format
146,baghdad,,2025-04-21 23:05:06,error,Invalid result format
147,baba,,2025-04-21 23:05:09,error,Invalid result format
148,belfast,,2025-04-21 23:05:12,error,Invalid result format
149,bọ́tìnnì gbogboǹsẹ,,2025-04-21 23:05:16,error,Invalid result format
150,bàtà,,2025-04-21 23:05:19,error,Invalid result format
151,Banadiomu,,2025-04-21 23:05:22,error,Invalid result format
152,bóyá,,2025-04-21 23:05:25,error,Invalid result format
153,bam-bam,,2025-04-21 23:05:27,error,Invalid result format
154,bọ̀ọ̀lì,,2025-04-21 23:05:30,error,Invalid result format
155,bàrà,,2025-04-21 23:05:33,error,Invalid result format
156,bangkok,,2025-04-21 23:05:41,error,Invalid result format
157,bọ́tìnnì àjèjì,,2025-04-21 23:05:44,error,Invalid result format
158,bucharest,,2025-04-21 23:05:47,error,Invalid result format
159,Bromine,,2025-04-21 23:05:49,error,Invalid result format
160,bọ́tìnnì Ìgbèsẹ,,2025-04-21 23:05:52,error,Invalid result format
161,bì jáde,,2025-04-21 23:05:55,error,Invalid result format
162,binu,,2025-04-21 23:05:57,error,Invalid result format
163,bristol,,2025-04-21 23:06:00,error,Invalid result format
164,Bósónì,,2025-04-21 23:06:02,error,Invalid result format
165,belgrade,,2025-04-21 23:06:04,error,Invalid result format
166,bákan náà ni,,2025-04-21 23:06:07,error,Invalid result format
167,bọ́tìnnì aṣàtúnṣe,,2025-04-21 23:06:09,error,Invalid result format
168,berlin,,2025-04-21 23:06:12,error,Invalid result format
169,Biochemistry,,2025-04-21 23:06:14,error,Invalid result format
170,bátànì àgbétẹ́lẹ̀,,2025-04-21 23:06:16,error,Invalid result format
171,Blu-ray Disc,,2025-04-21 23:06:18,error,Invalid result format
172,bọ́ọ̀dù,,2025-04-21 23:06:20,error,Invalid result format
173,bàbá,,2025-04-21 23:06:23,error,Invalid result format
174,bárakú,,2025-04-21 23:06:26,error,Invalid result format
175,bọ́tìnnì atọ́ka ojúṣe,,2025-04-21 23:06:28,error,Invalid result format
176,bọ́tìnnì atọ́ka,,2025-04-21 23:06:29,error,Invalid result format
177,Bẹ̀rẹ̀ Níbí,,2025-04-21 23:06:32,error,Invalid result format
178,Bawo,,2025-04-21 23:06:35,error,Invalid result format
179,bí òbìrìkìtìkibitikiribiti,,2025-04-21 23:06:38,error,Invalid result format
180,bọ́tìnnì pẹpẹ-irinṣẹ́,,2025-04-21 23:06:40,error,Invalid result format
181,Búkúmaàkìleti,,2025-04-21 23:06:42,error,Invalid result format
182,blu-ray Disc,,2025-04-21 23:06:44,error,Invalid result format
183,boron,,2025-04-21 23:06:46,error,Invalid result format
184,Bẹ́rkẹ́líọ̀m,,2025-04-21 23:06:49,error,Invalid result format
185,Beryllium,,2025-04-21 23:06:51,error,Invalid result format
186,Baktéríà,,2025-04-21 23:06:53,error,Invalid result format
187,búlọ́ọ̀gì,,2025-04-21 23:06:57,error,Invalid result format
188,babańlá,,2025-04-21 23:06:59,error,Invalid result format
189,bratislava,,2025-04-21 23:07:01,error,Invalid result format
190,bátìrì,,2025-04-21 23:07:03,error,Invalid result format
191,básíkùlù,,2025-04-21 23:07:06,error,Invalid result format
192,bọ́tìnnì àkùnàyàn,,2025-04-21 23:07:08,error,Invalid result format
193,bọ́tìnnì ẹ̀yàn,,2025-04-21 23:07:10,error,Invalid result format
194,bahrain,,2025-04-21 23:07:12,error,Invalid result format
195,bọ́tìnnì ìgbékiri,,2025-04-21 23:07:14,error,Invalid result format
196,bùbá,,2025-04-21 23:07:16,error,Invalid result format
197,bọ́tìnnì mẹ́nù,,2025-04-21 23:07:17,error,Invalid result format
198,bọ́tìnnì,,2025-04-21 23:07:20,error,Invalid result format
199,Bàbàowó,,2025-04-21 23:07:22,error,Invalid result format
200,Bismuth,,2025-04-21 23:07:24,error,Invalid result format
201,bó,,2025-04-21 23:07:27,error,Invalid result format
202,bọ́tà,,2025-04-21 23:07:29,error,Invalid result format
203,bọ́tìnnì àbùjá,,2025-04-21 23:07:31,error,Invalid result format
204,bì,,2025-04-21 23:07:33,error,Invalid result format
205,bọ́ọ̀lù-ẹlẹ́sẹ̀,,2025-04-21 23:07:35,error,Invalid result format
206,bátànì,,2025-04-21 23:07:37,error,Invalid result format
207,bèbè òkúta,,2025-04-21 23:07:39,error,Invalid result format
208,bọ́tìnnì atọ́ka òsì,,2025-04-21 23:07:41,error,Invalid result format
209,bí òrombó,,2025-04-21 23:07:43,error,Invalid result format
210,bọ́tìnnì aláwòrán,,2025-04-21 23:07:44,error,Invalid result format
211,bábà,,2025-04-21 23:07:46,error,Invalid result format
212,bùkún,,2025-04-21 23:07:48,error,Invalid result format
213,Bluetooth,,2025-04-21 23:07:50,error,Invalid result format
214,bùsí,,2025-04-21 23:07:52,error,Invalid result format
